Venue,Sentiment,Text
killermont polo club glasgow,negative,Large car park
killerton exeter,positive,car park at venue
killin and ardeonaig parish church killin,positive,"We drove there, the church shares parking with the hotel next door, no specific accessible parking spaces . uneven surfaces."
killin hotel killin,negative,"Accessible loo in reception area ,easily located, entrance through 2 doors, angle looked quite tight, so did not try accessing it.Large area with plenty of room to facilitate turning. Grab rails in place, but only one at side of toilet, would benefit from a drop down rail at other side of toilet. Higher than normal toilet. No emergency assistance cord in place.Room for a carer. Bathroom in hotel room, plenty of grab rails around toilet and one at sink, higher than usual toilet. Perch stool in corner of bathroom, but shower although large was quite high to access 3-4 inches, with no grab rails, and  a surface that would be very slippy when wet. No shelf in shower for toiletries, no emergency assistance cord. Could only access toilet and sink, and had to reverse chair back out of bathroom, no room to turn, and no room for carer"
killin hotel killin,positive,"We drove, plenty of parking, some spaces near the door, but no dedicated accessible parking . Some parking is on a hill, and ground uneven in places. Nearest train station is 14 miles away in Crianlarich, a taxi service is available. Public bus services serve Killin, but unsure if they stop near the hotel."
kilmurry co glasgow,negative,"there is limited on street parking. Pollockshaws Road is a good bus route with plenty of stops nearby. Pollockshaws East railway station is close by but it is not accessible for wheelchairs. great to have an accessible toilet in such a small place. It is tight getting into the toilet but ok once inside. I had to pull the alarm cord as I was unable to turn the thumb lock, I dislike these fiddly locks. "
kilner way retail park sheffield,positive,"I used my own wav, parking is no problem, plenty of disabled parking."
kilnford barns farm shop dumfries,positive,"Several disabled bays next to door, slight incline to entrance Toilet fully accessible,  plenty of grab rails and plenty of room to manoeuvre a wheelchair"
kilwinning abbey kilwinning,negative,There are no accessible toilets within the grounds of the abbey although this would be a very helpful addition to this visitor attraction if the funding was available to do so especially at changing places toilet as it's right in the middle of the town centre so would be in a ideal location for an accessible toilet.
kilwinning abbey kilwinning,positive,On this occasion I drove there by car. There is a public carpark located behind the shops on the High Street however there are specific disabled parking spaces to allow disabled people to park directly on the High Street despite the street itself being pedestrianised.
kilwinning main street kilwinning,negative,There were no accessible toilets I was aware of or could see on the High Street and perhaps this would be a useful addition for the future I feel the accessible changing places toilet perhaps located within the grounds of the abbey beside the visitor centre so that it could be monitored at different times of the day.
kilwinning main street kilwinning,positive,On this occasion I drove to Kilwinning by car with my mum and we parked in the public carpark which has plenty of accessible parking spaces just behind the High Street shops. Although the High Street is pedestrianised there is opportunity for disabled motorists to park in designated parking spaces on the main street itself
kilwinning railway station kilwinning,negative,"Good sized toilet in ticket office area, key is kept with staff in ticket office itself. Although accessible it is the only toilet so used by everyone. Not the cleanest! And refer to the access information to know if you'll even be able to get to it!"
kilwinning railway station kilwinning,positive,There are a handful of blue badge space in each car park but you need to know which platform your train is going from to make sure you park in the correct place and avoid a hilly walk between them
kingdom shopping centre glenrothes,negative,a bit grubby but accessible after you get a key the UV lights are useful but can make it difficult to see
kingdom shopping centre glenrothes,positive,lots of parking spaces with low cost parking  and right next to bus station
kinghorn community centre burntisland,positive,By car there is ample parking and two blue badge spaces.  Good access and space in loo. Right to left side transfer.  Lost a star as there is no alarm. 
kings coffee and books dumfries,negative,"One toilet. No signage as to whether it was accessible. Wasn’t able to fully assess, as the door was so heavy, I was unable to open it enough to gain access. It was very large , clean and roomy, and plenty of room for a wheelchair and a carer. Couldn’t access enough to see whether toilet had rails etc. "
kings coffee and books dumfries,positive,"In pedestrianised area, but plenty of dedicated accessible parking spaces very     near. Public bus top a few minutes away"
kings college chapel aberdeen,positive,"None in the Chapel, but there is a well-equipped though not very spacious one in the King's Centre, which is adjacent. The double automatic doors to the Centre weren't working but a very helpful staff member let us in, and opened the loo door for us."
kings cross and st pancras london,positive,We used the train direct to King's Cross and assistance is given getting on and getting off.  You need to book assistance in advance as you do for airlines We used toilets in restaurants so wasn't too aware of public loos.
kings cross railway station london,negative,"No idea as I couldn't find them. Despite having modern and accessible toilets, as well as a Changing Places Toilet the access was spoilt by the need to ring a bell to get through the wheelchair gate. Despite waiting several minutes and ringing several times no attendant responded to open the gate. Fellow travellers opened the gate and even then it was not straightforward as all the accessible toilets were kept locked by default. Resulted in having to use the standard toilets and disembark from power chair."
kings cross railway station london,positive,"I arrived here by train only, and directions were easy to find to reach the next platform. I have also arrived here by London Underground which was straightforward and clearly signposted. A busy London station with links to the underground, local taxis and buses. Best to check on the accessibility of your chosen method of transport. Buses are accessible as are most taxis. Although we could have used the First Class lounge on arrival and departure we had no need to. First Class Service  to London for us beats air travel  from Edinburgh anytime, no changes, transfers and waiting for just one of the various links in the chain to have a delay or cancellation. There was a rail strike that affected Heathrow. The underground from Kings Cross superb, but busy, congested and fast. Suggest you use your direct debit card for travel as a contactless payment, there were problems with machines taking Oyster Travel Cards and the ticketing machines were busy with long queues. I think there are possibly three disabled loos, definitely two. You just wait at the gate and the attendant lets you in free ( walking people have to pay haha).  The loo cubicle is huge and the toilet a usual height with handrails both sides. I'm not great at transferring and it's fine. Door ok too - not quite as heavy as some. It's probably worth adding also that the lighting in the toilets is really bright too - ideal for me as I catheter!.  The railway station is a major transport hub, as well as trains, there is an accessible tube station serving several lines. There are also several bus routes that serve the station and stop outside the entrance or close by."
kings cross st pancras underground station london,positive,The two nearist stations Kings cross and St Pancras International are both very accessible bus stop is on the main street 1 minute from the station   King's Cross underground station serves both King's Cross and St Pancras International railway stations. There are several bus routes that stop outside.
kings garden copenhagen,positive,"The park is in the city centre. Copenhagen has good accessible public transport. There are buses that stop nearby.  There are public toilets including an accessible toilet near the Hans Christian Anderson statue/ children's play area. The toilet was spacious, clean and had a single grab rail."
kings hall winter garden ilkley,negative,On street parking. Limited so arrive in good time.
kings hall winter garden ilkley,positive,"Free on street Disabled parking outside venue.  Venue opposite Ilkley Railway station. Arrive early as parking limited. Accessible unisex loo, well signposted and nice and clean.  Not certain as have not used last two visits."
kings lynn arts centre kings lynn,negative,The Art Centre itself does not provide parking facilities however a short walk away (200m) on the Tuesday Market Place there are disabled parking spaces available.
kings lynn town kings lynn,negative,I am sure that the accesssbile loos are great but we needed a hoist for changing my nephew.  We therefore had to rely on Changing Places to find our nearest facility.
kings lynn town kings lynn,positive,Lots of pay and display places at the St James car park be aware you have to pay but there are places inside and out.  You must use your blue badge or you will be fined!!  Also right next to ShopMobility if you want to hire a scooter or a chair. Not used it but there is a CallConnect bus which goes out and about to the villages and has wheelchair capacity.  It drops off at Shopmobility.   There is also lots of on street parking but remember to use your blue badge and that you are limited to just 3 housrs Many car parks have disable spaces but one of them has 28!
kings park stirling,positive,Parking on roads around the park  Both men's and women's  with rails and space to manoeuvre.
kings place london,negative,"The centre is some 400m from the tube station (Kings Cross/St Pancras) where there are lifts to the surface from all the lines (though you are dependent on up to three lifts being operational to get to and from the trains). Note that the station is big, with up to 400m to walk from train to street level.  Blue Badge parking is possible in Crinan Street, including the ‘residents only’ spaces. However, it's a somewhat chancy business, as there may not be any spaces available. There’s an NCP at St Pancras International station. A number of bus routes run nearby. There are wheelchair toilets on all levels, Atrium, -1 and -2. These meet the minimum standard used in Access in London with outward opening doors 70cm+ wide, and side transfer space of 70cm+. The Atrium one has D90 ST75."
kings theatre edinburgh,negative,"Drop off  / pick up point outside  We travelled by train to Haymarket and then a 20 min walk to the theatre which was far from comfortable due the lack of proper drop down kerbs at various points along the way. I’ll make a point of booking a good wheelchair accessible taxi to take us there direct from the train station next time. Didn't use the accessible loo so can't make further comment on it other than it was at least located at a good position next to the access door. No parking outside theatre (bar taxi drop off point), however parking is available further up street (towards Bruntsfield) through blue badge. The door in must be negotiated but the toilet itself is big and functional. Parking in nearby streets only. Best arrive early."
kings theatre edinburgh,positive,Large and functional. Nearby the 'standard' toilets are minimal so there tends to be a problem with non-disabled people using the accessible loo
kings theatre glasgow,negative,Smallish and not best location.  Folding doors are a bit off-putting
kings theatre glasgow,positive,"On street parking all around theatre Getting the train is so easy, 2 minute walk from charing x station. Best to book ahead for platform assistance with ramps. Unfortunately the accessible loo is not suited to a wheelchair user requiring personal assistance.   Parking is close by, if you are lucky enough to get a space.   There is a Bus stop outside (not being a local i have no idea which buses stop). "
kingsbarns distillery kingsbarns,negative,Accessible parking is available 
kingsbarns distillery kingsbarns,positive,"Disabled toilet in shop area. very clean and tidy. Accessible toilet is large and spacious with handrails emergency pull cord hangs all the way to the floor and is easily accessible  Good sized and clean.  There was one on ground floor and one on the first floor, where they do tastings and events. We drove to the Distillery from St Andrews and it was a fairly quick run. The distillery nestles deep in the estate and a long scenic drive meanders its way to the car park. Two prominent accessible parking bay signs depict the parking spaces. Only a 50 metre walk from there along the hard surfaces pathway and you are in the visitor centre.  The accessible toilets, yes - that's plural - were all very good. The 'Gin Cottage' particularly so with an enormous space. Like all the doors throughtout the complex; nice wide entrances and lots of space. Bright, light and spotlessly clean."
kingsgate centre dunfermline,negative,As above...it needs improvement...noone should face being hurt by a nappy changing unit! 
kingsgate centre dunfermline,positive,"The bus stop is right outside the Kingsgate centre on both sides which is convenient and the bus station is within a 5 minute walk, although the walk may take you over some cobbles. There is little to no parking near-by, the nearest/safest car park would be on New Row which is a 5-10 minute walk away. This can be very busy especially during peak hours. It is also a very steep hill up into the centre on town. There is more parking available at the retail park (Matalan ect) across the main road at the back of the centre but it is a very busy road to cross and exits from the car park are stairs unless walking on the road. There is disabled parking in the car park and the buses stop next door at the bus station. "
kingsgate shopping centre huddersfield,negative,Need a radar key to access. Ok for people who don't need a changing bed and hoist.
kingsgate shopping centre huddersfield,positive,Car park available with lift into shopping centre
kingsholm stadium gloucester,negative,Parking for disabled users is fine. You need to make sure you park close to the ground before the game. You may need to get there 35 to 40 minutes before kick-off as it can get avoid the busy crowd. The disabled toilet at Gloucester rugby ground is okay. You may need a radar key. There are two handrails either side are you to use . The space is adequate
kingshouse hotel ballachulish,positive,"We arrived by car,but there is a public bus service drops off at the road end, a good 3/4 mile away, however the hotel picks up walkers and hikers,and transports them and luggage to next drop off points on West Highland Way, so it may be possible to arrange being met at the road end.  Several Dedicated  disabled parking near entrance to hotel. Might still be a  bit far for those with mobility restrictions. Slight slope to negotiate down to main door.   Accessible toilet in reception area, modern,clean and fresh, plenty of grab rails, plenty of room for turning with wheelchair, lightweight sliding door, emergency assistance cord in place. However signposting could be clearer, sign is quite high up and is intergrated into wooden decor.   We travelled by car, plenty of dedicated accessible parking spaces near entrance to hotel. Glasgow to Uig Citylink bus passes road end, but a good 1/4- 1/2 mile from hotel entrance Large accessible loo off reception , immaculate, plenty of grab rails ( and Arran Aromatics Toiletries!) Signage could be clearer. Bathrooms in bedrooms roomy and accessible with plenty grabrails "
kingsmills hotel inverness,positive,"Disabled parking spaces outside main door of hotel. Other car parking near garden rooms but this is gravel with no disabled spaces. Very central location so I would assume there's good public transport links Only used the toilet in our room but did notice disabled toilets at reception. Arrived by car. Several disabled parking spaces right in front of main reception. Others at the back of the main building. Accessible toilet easy to find, very clean/tidy, grab rails available and had sufficient space for carer. No Changing Places toilet Large car park with disabled spaces near door."
kingspark school dundee,positive,"Disabled parking is definitely 5 stars. There are also accessible drop off points in exactly the right places. Public transport: some local bus services pass by several hundred metres away, probably not the easiest to get to using public transport. Every type of accessible loo imaginable! 5 stars for the loos which were spotlessly clean had decent and colour contrast grab rails. A wide variety of aids & adaptations."
kingston park community centre newcastle upon tyne,positive,"Small car park with 3 disabled spaces. Very close to Kingston Park metro station Easy to find, space to manoeuvre, grab rails, clean and tidy, space for a carer."
kingston park newcastle upon tyne,positive,"I travel by train to Newcastle Central station, then have used both the bus from Eldon Square and on this occasion by the Metro to Bank Foot. Both work well with Bank Foot having the advantage after the game of being quieter and before the busier Kingston Park platform. Central Station platform is now a level entry for wheelchair users with the platform having been raised. In the main concourse of the west stand it is before the bars once you are through the entrance. It's a cubicle large enough to rotate my power chair and has been clean each time I have been to the ground."
kingsway farm dundee,positive,Large car park.  Bus stop nearby. Large accessible toilet with grab rails and red cord.  Clean.
kinnaird head castle and lighthouse museum fraserburgh,positive,There is a good accessible car park just outside the museum entrance with disabled parking spaces. 
kinneil estate boness,negative,No specific disabled bays at the forest car park area but there is normally enough space. The surface is OK but could be better.
kinver edge and the rock houses stourbridge,negative,There are no toilets on this woodland ride
kinver edge and the rock houses stourbridge,positive,"Three woodland car parks are available which are close to openings to get you into the woods, and the paths are compressed soil, perhaps difficult after rain, but otherwise quite easy for your carer. There is no charge for you to see these woods."
kirkcaldy galleries kirkcaldy,negative,"toilets not that clearly marked, there are toilets on each floor disabled toilet is good and has enough space to move, clean and easy to lock/unlock"
kirkcaldy galleries kirkcaldy,positive,parking limited but well marked and a good few disabled parking bays right outside the entrance  Very close to Kirkcaldy train station Perfect other than difficulty in locating the disabled toilets. Better signage would fix that. There is an accessible toilet on each floor but the upper floor one requires a key. Kirkcaldy Galleries couldn’t be in a more accessible location with plenty parking on the grounds and literally right outside the train station in Kirkcaldy as well.  There are accessible toilets on site 
kirkcaldy garden centre kirkcaldy,negative,The toilet is quite small and doubles as baby changing. There is limited circulation space and side transfer space available if you are able to reposition the paper bin.  No red cord. 
kirkcaldy garden centre kirkcaldy,positive,Well placed for a visit by car and Glenrothes bus stops nearby. Ample blue badge parking. 
kirkcaldy railway station kirkcaldy,positive,"Disabled parking is in designated bays in the station car park. Buses run along the nearby road some 100 m distant. Taxis can be booked and the local taxi company has accessible vehicles. The station has an accessible toilet on the South bound platform. The door is automated, the fittings modern and clean. Plenty of space to move around."
kirkcudbright galleries kirkcudbright,negative,"We travelled by car, no carpark, parking was street parking and we had to go around several times to get parked. There was an accessible parking space along from the galleries, but no drop down on the pavement. There are local bus services to Kirkcudbright"
kirkcudbright galleries kirkcudbright,positive,"Roomy  & clean, plenty of grabrails "
kirkcudbright swimming pool kirkcudbright,positive,Spaces located by the door and clearly signed for blue badge holders. Two large loos. One is also a changing room fitted with hoists.
kirkstall abbey leeds,negative,"There is one disabled car parking space by the museum, but other car parking is much further away. There are bus stops on each side of the road directly by both venues, and these are the best option for getting to and from the venue. There are no nearby train stations"
kirroughtree visitor centre newton stewart,positive,You need a car or bike to get there but there is disabled parking that is free. You have to pay for normal parking. Very clean and lots of space to manoeuvre and there is grab rails and the emergency cord touched the ground. There was a shower as well. I think there was plenty of room for a carer but I don't have one.
kisas perth,positive,My husband dropped me off outside. There is a small carpark there. It's just behind the main street so I would assume it's easy to get there by bus. Train station is about a 15 min walk away Toilets are up a ramp. Quite awkward to open the door at the top of the ramp if you're on your own.They are all individual toilets off the corridor. The disabled toilet is large with good grab rails but no red cord
kishorn seafood bar strathcarron,negative,"Reasonably sized car park - gravel though, which I find hard to walk on - and no point using the scooter as no room for it inside. Car park is quite bumpy as it is gravel but my carer managed to push me. Plenty of space but no designated disabled parking places."
kitty cafe leeds,positive,The accessible toilet is large with handrails and handbars in the perfect position for me personally. 
klezmer hois krakow,positive,"The road parallel to the restaurant is a main road which has trams running along. I didn't use the tram while I was there so unable to comment, apart from I noticed that the new trams had wheelchair signs by one of the doors."
knightshayes national trust tiverton,negative,Parking is free for disabled blue bade holders however there is a small fee for non blue badge holders on top of the fee to access the house and gardens.  The disabled toilet was small and I couldn’t turn my chair around in it .It is shared with baby changing table and there was a big bin in the corner making the space even more tighter and hard to manoeuvre within .Both me and my companion could not fit in the toilet together. There was no changing places toilet either. 
knott end working mens club poulton le fylde,negative,Small car park which does get busy on weekend nights - one designated Blue Badge parking bay. There is also plenty of street parking nearby  
knott end working mens club poulton le fylde,positive,Large than average Accessible toilet with grab rails and ample space to move around  Exceptionally clean (Radar Key operated)
knowle solihull,negative,"No public toilets, but can use toilets in any shop or cafe who has one."
knowle solihull,positive,"Parking was quite easy with free disabled parking, very close to the shops on High street, Knowle. Payments were reasonable, slopes onto Main Street quite easy enough to handle, and it’s only a short distance anyway."
knowsley safari prescot,negative,There was 2 disabled toilets but people were using these toilets when they could of maybe used the normal toilet. Priority should be for people with disabilities .
koko london,negative,"I didn't use parking, so I can't comment on that -  but there are plenty of bus stops close by, so public transport is quite straight forward."
koko london,positive,"The accessible toilet is right next to the disabled seating area, and a member of staff is available to open the door if you need them to. Handrails are in the right place, and there's just about enough room to turn, though it isn't the most spacious. Heres a bit of a pill because being London, like down the road from kings cross, it is a major road. I went both times in a taxi and have either had to cross the road to get to the venue or be dropped off at fire exit type door and go all the way round. Which when there is a queue round the building can be a bit slow. The toilets were nice, they just had moveable handles. Their was a nice amount of space. If you needed a hoist or something along those lines it's not suitable though just to bear in mind."
kollensvevet zipline oslo,positive,"We took the metro from Oslo centre out to Holmenkollen, which was amazingly easy and free as we had Oslo passes. Every stop was wheelchair accessible with level entry on and off the train.  I took a star off as the hills from the station to the ski jump were extremely steep and I didn't see a taxi rank or bus service up."
kopenick berlin,positive,Can't comment on parking. Köpenick S-bahn station (accessible) is 1.8 km from the historic centre. The S-bahn station at Spindlersfeld (line S47) is just under 1km & is also accessible. From there it's a level wheel/walk to the Already (apart from the slope up to the bridge) or Tram 61 or Tram 63 to Schlossplatz.
krispy kreme edinburgh,positive,Car park and tram stop
kruger national park komatipoort,positive,At all the gates and at all the camps we saw dedicated disabled parking bays. You can only really get to the Kruger National Park using a car - and except for designated areas - for obvious reasons you have to stay in the car when you're there!  Wherever there were loos there seemed to be an accessible loo. Easy to find and clean and tidy. 
kukina edinburgh,positive,"No parking available, but on several bus routes, which stops and traffic light crossings very near by.    It is on Leith walk, which is a long hill, so the incline might have to be taken into consideration if going up and down hills can be a challenge.  The disabled access bathroom is large with plenty of space, and well through out handrails and easy turn level taps. The door was a bit heavy to push open, but had a lever handle. The lock was a large twist lock."
kulture park glashutte buhlbach freudenstadt,positive,"There is a small carpark with two disabled spaces right by the entrances. There are also wheelchair accessible buses that go from Baiersbronn. The disabled toilet was quite large and clean (the marks on the floor on the photos were worn away paint). There were grab bars, an emergency cord and a mirror that could be adjusted with a handle."
kunsthauswien vienna,positive,"Can't comment on parking. Tram no. 1 gets you to Radetzkyplatz, from where it is about 500 metres on good pavements. Some older Vienna trams are not wheelchair accessible. On the ground floor. Small but well provided with grab rails. Tiling in the Hundertwasser style."
kunsthistorisches museum wien vienna,positive,"Can't comment on the parking. The Museum is next to the Ring, which is well served by trams, and five minutes (level, good pavements) from Museumsquartier U bahn station, which is fully accessible. We only used the one on floor 1. It wasn't very clearly signed but once we found it, it was fine - grab rails, an alarm and reasonable space."
kunstmuseum basel,positive,We travelled on one of Basel's trams which dropped us off nearby. The tram had designated doors for wheelchair users which are clearly signed.
kyle of tongue hostel and holiday park lairg,positive,Park where you camp so easy access to the car. Also good because I like to keep my medication locked away  One of the cleanest well appointed disabled facilities I have seen 
kyloe restaurant grill edinburgh,negative,We came by bus. The restaurant is on the corner of Lothian Road and Princes St so there are many bus options and also a tram stop a few minutes walk away. I am unsure about parking.  On the Kyloe floor there is a gender neutral bathroom but these do not have accessibility features. I used the toilet in the Huxley downstairs. This is taken from my review for there: “ The toilet is a decent size. No Changing Places nearby that I can note. The toilet is not locked so no need to ask staff for a RADAR key. The red cord was not hanging to the floor however.”
kynoch park keith,positive,If you decide to go to Kynoch Park then you've many options!! You can park on the street directly opposite Kynoch Park or you can park in the car park to the right hand side of the ground whitch has plenty of space to get your scooter/wheelchair out of the car :
kyra womens project york,negative,There is no free parking available at Kyra and paid parking is limited on St Saviourgate as it is in the centre of York.  The venue is close to the bus stops at Stonebow in York and has a taxi rank at the end of the street. Once upstairs the bathroom is accessible via a few small steps onto a landing. While clean and tidy it is quite small.
la bambula xabia,positive,"Wheelchair accessible Parking The nearest disabled parking space is in Calle Pireo however, the whole of the promenade is step-free and a great flat rolling surface so you can park in any disabled spaces behind the Arenal Beach area and then wheel to Bambula. If distance walking/rolling is an issue then the disabled space in Calle Pireo is the nearest.  Once you park there, you roll towards the sea and then turn right when you reach the promenade. La Bambula is the last restaurant that you come to. The disabled access toilet had grab rails and was easily accessible for larger electric wheelchairs as well. No hoist though. "
la barantine edinburgh,negative,"Small but sufficient, looking to improve and develop."
la barantine edinburgh,positive,"Well provided bus servic s by Lothian Buses with Disabled, wheelchair access and drop down ramps."
la belle angele edinburgh,negative,"The accessible loo was also on that level, just across at the other side of the room from the reserved seats. If that loo is out of order then the other loos are up half a dozen steps and across the corridor."
la cala de mijas la cala de mijas,negative,"There are disabled toilets that are located next to the beach, and these are accessible via a ramp into them. There is enough space in these toilets to maneuver about, however due to them being open to everyone on the beach this can mean that they are not always the cleanest of toilets because of people coming from the beach to use them, although the local council workers do a good job in trying to keep them clean and monitoring them throughout the whole day.  Most of the restaurants all have disabled friendly toilets and these are very accessible and are kept clean and tidy. I believe most of the restaurants disabled toilets will have room to maneuver and for a carer to also be present. Most of these toilets also have a pull down handle rail.  My advice is if the beach toilets are not accessible enough for an individual's specific needs then  the lifeguards will be more than helpful to point you into the correct direction of what restaurants will have the best disabled toilet facilities, or even the restaurant staff are all very friendly so I would also recommend asking them."
la cala de mijas la cala de mijas,positive,"All of the public transport is very cheap and accessible for wheelchair users which makes it the most ideal way of traveling around the Costa del Sol area. The public bus takes you right into the centre of the town and it is only a couple of minutes  walk away from the beach which is also accessible by wheel chair. However, if you were to drive then there are plenty of disabled parking bays which are local to the beach and the shops, and all of the disabled parking bays have level access ground, making it easy to get around the town and to the beach."
la casa de vegueta las palmas de gran canaria,negative,"The toilet was in a spacious en suit bathroom. It did not have grab rails or an emergency cord. The bathroom was very clean and tidy. The chair in the bedroom could be put in the bathroom to assist with transfers from the toilet and I'm sure Ana, the owner, would move it into the bathroom if you required it."
la casa de vegueta las palmas de gran canaria,positive,"I arrived here by taxi which stopped directly outside the house.  There are lots of buses but I'm unsure how close to the house they stop. Taxis are reasonably priced in Las Palmas and I used them to get about. I would usually walk into town in the morning and get a taxi back at the end of the day and this worked well for me. The accommodation is in Vegueta (Old Town Las Palmas) and some of the streets, including the one the house is on, are on a slight slope. After leaving the house it was a five minute walk to the cathedral  but one of the streets had a very narrow pavement, which wasn't quite wide enough to walk comfortably with my crutch. However the neighbouring streets are quiet so don't be put off by it.  "
la cour de remi bermicourt,positive,"There was a space marked with a Blue Badge symbol near the archway that leads to the hotel and there is ample parking generally. The car park was gravel which could have been a problem, but we were able to park near enough to the pathway to be able to get straight onto it. I don't know if there was an accessible loo in the restaurant but in the bedroom, the very spacious bathroom had some adaptations. The toilet had a grab rail to the left as you sit on it and the shower had one grab rail and a movable stool. You can see from the photos that the shower gel dispenser is too high to be reached from a sitting position and the tiled floor was very slippery but there was a bath mat for the floor amongst the pile of lovely fluffy towels they provided which solved the problem."
la croisette cannes,positive,"The train station is about a 10 minute walk away, and it's on a slight slope down from the station to the sea front. There are also a number of buses that run along La Croisette or stop nearby.  Sorry unable to comment about car parking, but assume it would be expensive given the location."
la favorita edinburgh,negative,Parking might be tricky as it's a fairly busy stretch of road; there are parking bays outside. It's also on the main bus route from and to town so there are loads of accessible buses. The restaurant does have an accessible toilet. On paper it would look good but unfortunately is a little on the small size so turning was out of the question; it was roll in and roll out.
la favorita restaurant edinburgh,positive,"Getting to Favorita was really easy as it is Leith Walk and very hand for the buses. We came down from Princes Street on the bus which was only ten minutes or so. The bus was also very good as it had a wheechair ramp and space for my pal. An accessible loo adjoins the restaurant. It was spacious enough and had everything required. It was spotlessly clean too. La Favorita is on Leith Walk so has plenty of bus stops nearby. We drove and whilst we didn't find any Blue Badge spaces nearby there is on street parking nearby. In addition the fabulous Manager suggested that we ""double"" park right outside the door and he would let us know if anyone needed to move."
la goccia london,negative,In a wheelchair London public transport or parking are not great so I went by taxi from Waterloo and I was kindly pushed back to Waterloo later. Only 3 stars as it was a little messy !
la goleta antigua,positive,"We accessed La Goleta as part of our walk to the harbour area although we did see a car park around 200 yard along from it.  I did not see any designated disabled parking bays in this one but there were behind the building beside which was a hotel. This is one disabled loo that I did use and found it excellent!  It was located in the indoor restaurants behind La Goleta and was shared by all there.    There was lots of room to get my wheelchair in and transfer, with grab rails (one pull down) on both sides.  The loo itself was also raised.  I kept hitting the soap dispenser when getting the loo paper but that was just me.  I wish the one at my hotel was like this."
la piscine couverte village neuf,positive,"4 large bays directly in front of the pool One for boys and one for girls at the main entrance, opposite reception desk."
la pizza cresci nice,positive,The restaurant is on a padestrianised street with buses and trams stopping close by.
la posada molina todos santos,negative,"You can park near the rooms, but the ground is packed dirt / gravel The bathroom was pretty tight, but worked for my manual chair. I showered using a plastic pool chair that I was able to transfer into."
la ptite folie edinburgh,negative,"There was some parking outside, not special areas for the blue badge holders The  bus route was close and the access for mobility scooter the normal cobbles of Edinburgh"
la ranilla puerto de la cruz,positive,"La Ranilla area is near to Plaza Charco, one of the towns main squares, and one where you can be dropped off by taxi or pick one up from the rank. I travelled by taxi, but I think the bus station is near by but I think this would invole walking up a hiil to get to it. From Plaza Charco it is a level walk of a couple of minutes to La Ranilla.   "
la salsa horwich,negative,The loo is big enough for a powerchair however the changing table in the way lets down their accessibility. I'm sure they would move it if asked but I haven't had chance.
la salsa horwich,positive,"On street parking locally and also on the main road, opposite La Salsa is the bus stop. Very large accessible toilet. I didn't see a specific car park but there is on street parking a few streets away and also a big car park behind the sainsburys about 5 minutes walk away (across flat ground). I don't drive but I use a powerchair and it is very easy to get to from Horwich town centre. If I was getting the bus I would get the 125 from Bolton or Chorley as it stops right outside. It's quite far from any train station if walking and disabled but Blackrod is the closest."
la storia nottingham,negative,"No parking for the site but plenty a short walk away, just be careful of the pavements."
la storia nottingham,positive,"At the back of the restaurant, so on a busy day let them know of a disability to they choose a suitable table otherwise it might be tight. Loo itself was great, modern and spacious."
la tasca york,negative,"There are no parking spaces close to the entrance of this restaurant, and there are double yellow lines on most streets surrounding it. The closest car parks are Monk Bar car park or Clifford's Tower, both of which are around 250m away, and the nearest bus stop is approximately 100m away. As La Tasca is located in the heart of York there are many modes of transport that could be used to visit. A Bus stop is situated approximately 100 meters away and Taxi's are always available. There are double yellow lines running on both sides of the street and the restaurant does not have customer parking. There is a dropped kerb outside of the main doors however the cobbled streets and narrow alleyways could cause problems for wheelchair users."
la tasca york,positive,"There is a sizable disabled toilet on the ground floor, with further bathrooms on the 1st floor. These can be accessed using the lift. There is a large disabled toilet on the ground floor which is opened  by a key on request. Additional male and female toilets are located upstairs."
la taverna aviemore,positive,We drove and parked in the restaurant car park which is a decent size. Clean tidy and a decent size.
la vecchia scuola york,negative,There is no parking attached to the restaurant. The nearest parking with disabled parking spaces is o.4 miles away. Taxis can pull up outside the building. There are both separate male and female toilets. The female toilets were quite big however the cubicle which i went in was quite small and would not be big enough to facilitate transfer from wheelchair to toilet. However there could be a bigger cubicle in the toilets to facilitate this.
la vita spuntini glasgow,negative,"There was an accessible toilet on the ground floor which staff helpfully pointed out. Again if you were in a wheelchair it may be a little snug. They also keep spare high chairs in there. The day I visited it had about 30 helium balloons in it, spares for the tables. So hopefully not a usual occurrence.  Grab rails present. "
la vita spuntini glasgow,positive,It’s within 5mins walk from central station. There are disabled parking bays on West Nile Street. Lots of on street parking that you can park in with a disabled badge.
la vita spuntini west end glasgow,negative,"On Byres Rd in West End of Glasgow, so parked behind Jinty McGintys. Car park was really steep but was free with blue badge."
labranda princess gulluk belediyesi,negative,"The hotel has parking spaces right outside the hotel and taxis are available on request. The hotel is built on a hill and realistically, anyone coming to the hotel would need a car of sorts to access the hotel."
ladram bay holiday park budleigh salterton,negative,There were sufficient in front of Reception only 1 in the entertainment area. And ok next to the caravan.
ladram bay holiday park budleigh salterton,positive,"Perfect once able to get upstairs, clean and with appropriate rails."
lady bay west bridgford,negative,"There is a small car park with limited space but this venue is on a main bus route, though some way from the city centre.  It is probably best to arrive (as we did) on foot."
lagan river walk belfast,positive,clean disabled toilets in Dock honesty cafe and Streat cafe
lagan valley leisureplex lisburn,positive,They had a separate part of the car park which is closed off by a barrier.  Only blue bagde holders can use it.  Great 
